Policy Number,Inception Date,Months since Inception,Gender,Age,Vehicle,Postcode,Premium Charged,Distance,Journeys,Overall Risk %,High Risk Event,High Risk Event%,Medium Risk Event,Medium Risk Event%,Speeding Events,SpeedingEventsPerMile,DriverScore
XQ22667078,3/15/2013,11,M,19,Renault,HD3 3NZ,3075.49,"4,905",794,3.15%,4,0.50%,21,2.64%,"1,400",0.29,92.22
XQ22667079,3/23/2013,11,M,19,VW,WN7 2LZ,2724.89,"1,134",146,0.68%,0,,1,0.68%,96,0.08,97.71
XQ22667080,3/20/2013,11,M,21,Land Rover,NN17 5EG,1268.11,"4,794",831,11.31%,9,1.08%,85,10.23%,"1,746",0.36,87.91
XQ22667081,3/26/2013,11,M,18,Renault,B94 5BS,3088.35,"5,298",798,3.51%,5,0.63%,23,2.88%,"1,080",0.20,93.85
XQ22667082,4/3/2013,11,M,18,VW,NN18 9DJ,0.00,"5,847","1,679",1.31%,0,,22,1.31%,"1,710",0.29,94.33
XQ22667083,4/6/2013,11,M,20,Mercedes,LE3 1DJ,2981.50,"2,878",983,1.02%,0,,10,1.02%,771,0.27,96.71
XQ22667084,4/17/2013,10,M,19,Renault,DN36 4XX,2313.78,"2,397",376,1.06%,1,0.27%,3,0.80%,261,0.11,95.69
XQ22667085,4/20/2013,10,M,21,BMW,WV11 2QB,4348.01,"3,558",707,23.20%,49,6.93%,115,16.27%,"1,566",0.44,83.89
XQ22667086,4/27/2013,10,M,17,Renault,NE3 4YE,3203.43,938,81,,0,,0,,36,0.04,98.47
XQ22667088,5/29/2013,9,M,17,VW,CR2 7ND,3650.50,"2,214",263,2.66%,2,0.76%,5,1.90%,411,0.19,94.19
XQ22667089,6/7/2013,9,F,16,BMW,ST11 9NP,0.00,"6,340",424,0.71%,0,,3,0.71%,839,0.13,93.97
XQ22667090,6/1/2013,9,M,20,Renault,SK5 6NU,2895.24,"4,672","1,491",2.88%,11,0.74%,32,2.15%,910,0.19,95.97
XQ22667091,6/2/2013,9,M,17,Ford,DY6 8HR,0.00,"1,542",385,0.26%,0,,1,0.26%,55,0.04,99.22
XQ22667092,5/30/2013,9,F,18,Smart,CV2 2BZ,0.00,"2,672",489,2.04%,0,,10,2.04%,548,0.21,94.75
XQ22667093,5/30/2013,9,M,21,Renault,SE17 2AQ,2774.29,"1,985",643,,0,,0,,283,0.14,98.07
XQ22667093,5/30/2013,9,M,21,Vauxhall,SE17 2AQ,2774.29,367,49,10.20%,2,4.08%,3,6.12%,145,0.40,89.38
XQ22667094,6/1/2013,9,F,17,Land Rover,BN8 4TD,0.00,"2,451",374,1.60%,0,,6,1.60%,234,0.10,97.01
XQ22667095,5/31/2013,9,F,17,Renault,HD7 5TS,0.00,"5,658","1,234",0.32%,1,0.08%,3,0.24%,496,0.09,98.18
XQ22667096,5/31/2013,9,M,17,Audi,BL4 7SE,0.00,"5,244","1,900",4.47%,14,0.74%,71,3.74%,"2,439",0.47,93.59
XQ22667097,6/1/2013,9,M,17,Smart,SO22 4JB,3081.58,"3,321",547,2.56%,1,0.18%,13,2.38%,467,0.14,95.63
XQ22667098,6/4/2013,9,F,17,Renault,SO21 3DQ,3539.93,716,118,,0,,0,,38,0.05,98.77
XQ22667099,6/5/2013,9,F,20,Renault,WR11 4TD,3198.28,"4,770",838,3.70%,5,0.60%,26,3.10%,"1,217",0.26,91.36
XQ22667100,6/18/2013,8,F,18,Ford,MK17 8BB,2283.53,"4,291",438,,0,,0,,81,0.02,99.38
XQ22667101,6/6/2013,9,F,17,VW,NE3 1RJ,0.00,"1,841",647,0.46%,0,,3,0.46%,331,0.18,96.57
XQ22667102,6/6/2013,9,M,21,Vauxhall,L20 0BE,3389.85,"4,994","1,337",2.32%,3,0.22%,28,2.09%,"1,145",0.23,94.46
XQ22667103,6/7/2013,9,M,17,Land Rover,KT21 1QY,0.00,"4,035",446,0.90%,2,0.45%,2,0.45%,278,0.07,96.98
XQ22667104,6/8/2013,9,F,17,Audi,WD6 2DN,0.00,"2,907",837,1.31%,2,0.24%,9,1.08%,674,0.23,95.58
XQ22667105,6/8/2013,9,F,17,Smart,KT22 9DT,3044.12,"3,120",488,1.02%,0,,5,1.02%,340,0.11,96.81
XQ22667106,6/7/2013,9,F,17,Land Rover,DE55 7DZ,3377.53,"5,673",784,0.89%,1,0.13%,6,0.77%,650,0.11,95.93
XQ22667107,6/10/2013,9,F,20,Renault,DN11 9QE,0.00,"11,108",906,3.75%,5,0.55%,29,3.20%,"1,884",0.17,91.29
XQ22667108,6/10/2013,9,F,20,Vauxhall,DN11 9ER,0.00,"2,027",218,1.38%,3,1.38%,0,,292,0.14,90.97
XQ22667109,6/10/2013,9,F,17,Land Rover,L37 1NR,0.00,"2,067",554,1.81%,0,,10,1.81%,322,0.16,95.89
XQ22667110,6/10/2013,9,M,17,VW,M28 3HS,0.00,"4,150","1,458",2.33%,3,0.21%,31,2.13%,"1,246",0.30,94.94
XQ22667111,6/11/2013,9,M,18,Renault,LS16 8BP,2912.78,"4,958","1,077",0.74%,2,0.19%,6,0.56%,649,0.13,97.08
XQ22667112,6/11/2013,9,F,17,Renault,LE13 1TA,2317.49,"3,421",573,0.17%,0,,1,0.17%,166,0.05,98.24
XQ22667113,6/11/2013,9,M,17,Renault,CF32 0BL,0.00,"3,054",622,0.64%,2,0.32%,2,0.32%,305,0.10,97.54
XQ22667114,6/15/2013,8,F,18,Audi,DE12 7BB,3630.59,"4,550",459,3.70%,1,0.22%,16,3.49%,891,0.20,92.12
XQ22667115,6/13/2013,8,M,18,VW,CM2 8XT,3550.31,"1,492",257,5.06%,1,0.39%,12,4.67%,399,0.27,92.46
XQ22667116,6/13/2013,8,M,19,Audi,BN2 8SR,2042.98,"2,323",397,0.50%,0,,2,0.50%,134,0.06,97.73
